"Row Type,City name,City ID,Cost,Clicks,Impr,Cost/wt action,Weighted actions,Avg CPC,CTR,Avg pos"
",Trenton,1022444,292.63,65,421,2.18,134.00,4.50,0.1544,"
",Evanston,1016453,31.20,6,105,3.47,9.00,5.20,0.0571,"
",Wayne,1022464,44.00,10,43,3.14,14.00,4.40,0.2326,"
",Portsmouth,1027255,8.40,2,41,1.68,5.00,4.20,0.0488,"
",Needham,1018316,20.28,5,53,1.84,11.00,4.06,0.0943,"
",Lehigh Acres,1015095,20.29,5,40,4.06,5.00,4.06,0.1250,"
",La Crosse,1028036,33.28,9,68,1.85,18.00,3.70,0.1324,"
",Knoxville,1026036,51.77,11,193,3.70,14.00,4.71,0.0570,"
",Conyers,1015307,43.14,8,35,3.92,11.00,5.39,0.2286,"
",Chapel Hill,1021047,57.18,15,157,0.70,82.00,3.81,0.0955,"
",Tishomingo,1024350,3.70,1,2,1.23,3.00,3.70,0.5000,"
",Shingle Springs,1014274,3.17,1,13,1.58,2.00,3.17,0.0769,"
",Tamarac,9052957,27.23,6,35,3.03,9.00,4.54,0.1714,"
",Ashwaubenon,9051525,12.10,3,23,12.10,1.00,4.03,0.1304,"
",Mandan,1021486,0.00,0,7,,0.00,,0.0000,"
",Ipswich,1025785,0.00,0,0,,0.00,,,"
",Kingston,9052240,7.14,2,4,3.57,2.00,3.57,0.5000,"
",East Meadow,1022877,0.00,0,31,,0.00,,0.0000,"
",Kihei,1015594,1.16,1,8,0.29,4.00,1.16,0.1250,"
",Lincolnton,1021190,5.02,2,18,1.00,5.00,2.51,0.1111,"
",Cottontown,1025960,4.98,1,7,4.98,1.00,4.98,0.1429,"
",Groton,9052076,6.95,3,15,1.16,6.00,2.32,0.2000,"
",South Portland,1019046,0.00,0,14,,0.00,,0.0000,"
",Wall Township,9053071,38.97,6,44,4.87,8.00,6.50,0.1364,"
",Hawthorne,1022984,17.67,4,19,4.42,4.00,4.42,0.2105,"
",Pearl,9052651,12.15,2,11,12.15,1.00,6.08,0.1818,"
",Fall City,1027587,0.00,0,3,,0.00,,0.0000,"
",Monument,1014585,0.00,0,15,,0.00,,0.0000,"
",Danville,1027096,0.00,0,24,,0.00,,0.0000,"
",Willard,1020683,0.00,0,1,,0.00,,0.0000,"
",Marianna,1015109,15.90,3,18,3.98,4.00,5.30,0.1667,"
",Anson,1026188,0.00,0,1,,0.00,,0.0000,"
",Pontiac,1019536,10.45,3,30,1.74,6.00,3.48,0.1000,"
",Floydada,1026399,0.00,0,1,,0.00,,0.0000,"
",Hemet,1013852,4.39,1,18,2.19,2.00,4.39,0.0556,"
",Logan,1028372,22.60,4,15,7.53,3.00,5.65,0.2667,"
",Whitesburg,1017915,7.96,2,11,3.98,2.00,3.98,0.1818,"
",Yaphank,1023516,0.00,0,5,,0.00,,0.0000,"
",North Springfield,9052556,0.00,0,1,,0.00,,0.0000,"
",Farr West,9051937,4.05,1,5,4.05,1.00,4.05,0.2000,"
",Atkinson,1021600,0.00,0,2,,0.00,,0.0000,"
",Hilliard,1023744,0.00,0,14,0.00,1.00,,0.0000,"
",Kannapolis,1021166,28.90,5,19,7.22,4.00,5.78,0.2632,"
",Oxon Hill,1018674,0.00,0,8,,0.00,,0.0000,"
",Sparta,1020607,0.00,0,1,,0.00,,0.0000,"
",De Beque,1014481,0.00,0,7,,0.00,,0.0000,"
",North Bend,1024528,0.00,0,2,,0.00,,0.0000,"
",Norcross,1015455,17.27,4,28,1.92,9.00,4.32,0.1429,"
",Boulder Creek,1013609,3.68,1,4,1.23,3.00,3.68,0.2500,"
",Douglas,1015331,0.00,0,12,,0.00,,0.0000,"
",Canton,1021037,4.36,1,16,4.36,1.00,4.36,0.0625,"
",Sunbury,1024022,10.06,3,8,5.03,2.00,3.35,0.3750,"
",Nutley,1022310,23.63,5,40,2.95,8.00,4.73,0.1250,"
",Vernon Hills,1016923,0.00,0,21,,0.00,,0.0000,"
",Watsonville,1014382,2.53,1,5,1.26,2.00,2.53,0.2000,"
",Townsend,1020963,0.00,0,1,,0.00,,0.0000,"
",Wilton,1014884,15.69,3,14,1.96,8.00,5.23,0.2143,"
",Petaluma,1014129,8.10,2,19,1.01,8.00,4.05,0.1053,"
",Westfield,1017367,18.68,5,25,1.56,12.00,3.74,0.2000,"
",Whitman,1018486,0.00,0,6,,0.00,,0.0000,"
",North Branford,1014785,0.00,0,3,,0.00,,0.0000,"
",North Salem,1023206,0.00,0,8,,0.00,,0.0000,"
",South Park Township,9052879,0.00,0,12,,0.00,,0.0000,"
",La Porte,1026537,0.00,0,13,,0.00,,0.0000,"
",Beacon,1022723,20.00,4,20,2.22,9.00,5.00,0.2000,"
",Syosset,1023415,5.12,1,19,2.56,2.00,5.12,0.0526,"
",Altoona,1027825,0.00,0,2,,0.00,,0.0000,"
",West Wendover,1022663,0.00,0,1,,0.00,,0.0000,"
",Weathersfield,9073521,0.00,0,1,,0.00,,0.0000,"
",Balch Springs,9051542,13.39,3,21,13.39,1.00,4.46,0.1429,"
",Marshfield,9052396,13.32,3,15,3.33,4.00,4.44,0.2000,"
",Lakeside,1013929,0.00,0,11,,0.00,,0.0000,"
",Grass Valley,1013826,14.52,3,27,2.42,6.00,4.84,0.1111,"
